RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
181,"Old School/House, St Mark's",06/12/2000,https://www.gov.im/media/632585/0500181regbldoldschoolhouse.pdf,Malew,,Registered
182,"St Mark's Church, St Mark's",09/05/2001,https://www.gov.im/media/632591/0500182regbldstmarkschurch.pdf,Malew,,Registered
183,"Bayqueen Hotel, The Promenade",,https://www.gov.im/media/1382477/rb183-de-registration-notice-combined_compressed.pdf,Port St Mary,,De-registered
184,"Church Cottages, St Mark's",09/05/2001,https://www.gov.im/media/632597/0500184regbldchurchcottage.pdf,Malew,,Registered
185,"King William's College, Castletown",06/07/2001,https://www.gov.im/media/631991/0500185regbldkingwilliamscollege.pdf,Castletown,,Registered
186,"Douglas Hotel, North Quay",26/07/2001,https://www.gov.im/media/632333/0500186regblddouglashotel.pdf,Douglas,,Registered
187,"1-12 Victoria Terrace, off Victoria Road",15/08/2001,https://www.gov.im/media/632339/0500187regbld8victoriaterrace.pdf,Douglas,,Registered
188,"All Saints Church, Alexander Drive",15/08/2001,https://www.gov.im/media/632345/0500188regbldallsaintschurchhall.pdf,Douglas,,Registered
189,Close Lake House,15/05/2001,https://www.gov.im/media/631499/0500189regbldcloselake.pdf,Andreas,,Registered
190,"Woodlands, Alexander Drive",31/10/2001,https://www.gov.im/media/632351/0500190regbldwoodlands.pdf,Douglas,,Registered
191,"Ravenscourt, Peel Road",31/10/2001,https://www.gov.im/media/632357/0500191regbldravenscourt.pdf,Douglas,,Registered
192,"Crescent Cinema, Central Promenade",31/10/2001,https://www.gov.im/media/632363/0500192regbldthevenue.pdf,Douglas,,Registered
193,"Old Brewer's House, Castle Hill",31/10/2001,https://www.gov.im/media/632369/0500193regbldcastlehillhouse.pdf,Douglas,,Registered
194,Primitive Methodist Chapel,31/10/2001,https://www.gov.im/media/632825/0500194regbldpeelmethodistchurch.pdf,Peel,,Registered
195,"The National Westminster Bank, Prospect Hill",20/09/2002,https://www.gov.im/media/632375/0500195regbldnationalwestminsterb.pdf,Douglas,,Registered
196,"Jubilee Clock, Victoria Street",20/09/2002,https://www.gov.im/media/632381/0500196regbldjubileeclock.pdf,Douglas,,Registered
197,"St Mary's of the Isle Catholic Church, Hill Street",20/09/2002,https://www.gov.im/media/632387/0500197regbldstmaryschurch.pdf,Douglas,,Registered
198,"The former Isle of Times Office, 9 Athol Street",20/09/2002,https://www.gov.im/media/632393/0500198regbld9atholstreet.pdf,Douglas,,Registered
199,29-31 Athol Street,20/09/2002,https://www.gov.im/media/632399/0500199regbld31atholstreet.pdf,Douglas,,Registered
200,"The Gaiety Theatre, Harris Promenade",24/09/2002,https://www.gov.im/media/632405/0500200regbldgaitytheatre.pdf,Douglas,,Registered
201,"The Queen's Hotel, Queen's Promenade",20/09/2002,https://www.gov.im/media/632411/0500201regbldqueenshotel.pdf,Douglas,,Registered
202,School House (former Parochial or Central School),20/09/2002,https://www.gov.im/media/632633/0500202regbldschoolhouse.pdf,Maughold,,Registered
203,"The Old Sail Loft, Shore Road",20/09/2002,https://www.gov.im/media/632855/0500203regbldtheoldsailloft.pdf,Port St Mary,,Registered
204,St. German's Cathedral,18/10/2002,https://www.gov.im/media/632831/0500204regbldstgermainschurch.pdf,Peel,,Registered
205,"Tower of Refuge, St. Mary's Rock (also known as Conister Rock)",18/10/2002,https://www.gov.im/media/632417/0500205regbldtowerofrefuge.pdf,Douglas,,Registered
206,"May Hill House (formerly Cronk Brae), May Hill",18/10/2002,https://www.gov.im/media/632945/rb-206-may-hill-house-formerly-cronk-brae-may-hill.pdf,Ramsey,,Registered
207,"The Former Wesleyan Chapel, Earystane Village",18/10/2002,https://www.gov.im/media/631523/0500207regbldwesleyanchapel.pdf,Arbory,,Registered
208,The Golden Meadow Mill,18/10/2002,https://www.gov.im/media/631997/0500208regbldoldmill.pdf,Castletown,,Registered
209,Mullinaragher,11/12/2002,https://www.gov.im/media/633023/0500209regbldmullinaragher.pdf,Santon,,Registered
210,4-11 Harris Terrace,13/12/2002,https://www.gov.im/media/632423/0500210regbld411harristerrace.pdf,Douglas,,Registered
211,"Beach Cottage, Ballure Road",27/01/2003,https://www.gov.im/media/632951/0500211regbldbeachcottage.pdf,Ramsey,,Registered
212,"Ballure Cottage, Ballure Road",27/01/2003,https://www.gov.im/media/632957/0500212regbldballurecottage.pdf,Ramsey,,Registered
213,"Raven's Cliff, Fort Anne Road",27/01/2003,https://www.gov.im/media/632429/0500213regbldravenscliff.pdf,Douglas,,Registered
214,The Albert Tower,27/01/2003,https://www.gov.im/media/632963/0500214regbldalberttower.pdf,Ramsey,,Registered
215,"Dunluce, Ballure Road",27/01/2003,https://www.gov.im/media/632969/0500215regblddunluce.pdf,Ramsey,,Registered
216,"Sea Cliffe, Ballure Road",27/01/2003,https://www.gov.im/media/632975/0500216regbldseacliff.pdf,Ramsey,,Registered
217,"Arch Tower House, South Quay",27/01/2003,https://www.gov.im/media/632435/0500217regbldarchtower.pdf,Douglas,,Registered
218,"Riverside Cottage, Bridge Lane",09/05/2003,https://www.gov.im/media/632981/0500218regbldriversidecottage.pdf,Ramsey,,Registered
219,"15 Riverside Cottages, Bridge Lane",09/05/2003,https://www.gov.im/media/632987/0500219regbld15bridgelane.pdf,Ramsey,,Registered
220,"17 Riverside Cottages, Bridge Lane",09/05/2003,https://www.gov.im/media/632993/0500220regbld17bridgelane.pdf,Ramsey,,Registered
221,"Bridge Inn, Bowring Road",09/05/2003,https://www.gov.im/media/632999/0500221regbldbridgeinn.pdf,Ramsey,,Registered
222,"Clucas Laundry Old Engine Room, Chimneys and Sluices, Tromode",13/05/2004,https://www.gov.im/media/632783/0500222regbld-clucas-laundry-old-engine-room-add.pdf,Onchan,,Registered
223,18a-20 Victoria Street,04/11/2005,https://www.gov.im/media/632441/0500223regbld20victoriastreet.pdf,Douglas,,Registered
224,22 & 24 Victoria Street,,https://www.gov.im/media/632447/0500224regbld-22-24-victoria-street-add.pdf,Douglas,,De-registered
225,26 Victoria Street,04/11/2005,https://www.gov.im/media/632453/0500225regbld26victoriastreet.pdf,Douglas,,Registered
226,"Ridgeway House, Ridgeway Street",17/01/2005,https://www.gov.im/media/632459/0500226regbldridgewayhouse.pdf,Douglas,,Registered
227,"Laxey Working Mens Institute, New Road",17/01/2005,https://www.gov.im/media/632537/0500227regbldlaxeyworkingmensinst.pdf,Laxey,,Registered
228,"St Ninian's Church, Ballaquayle Road",22/07/2005,https://www.gov.im/media/632465/0500228regbldstninianschurch.pdf,Douglas,,Registered
230,Buck House Merton Bank,20/12/2005,https://www.gov.im/media/632471/0500230regbldbuckhouse.pdf,Douglas,,Registered
231,37 Athol Street,,https://www.gov.im/media/632477/0500231regbld-37-athol-street-add.pdf,Douglas,,De-registered
234,"Farmhill Manor, Farmhill Lane, IM2 2EF",06/06/2006,https://www.gov.im/media/632483/0500234regbldfarmhillmanor.pdf,Douglas,,Registered
235,"Parville', also known as Parville Place', Ballagawne Road, Ballabeg, IM9 4LF",01/09/2006,https://www.gov.im/media/631529/0500235regbldparville.pdf,Arbory,,Registered
237,"Guard House & Fire Party, 258 Jurby Industrial Estate, IM7 3BD",26/03/2007,https://www.gov.im/media/632507/0500237regbldguardhouseandfirep.pdf,Jurby,,Registered
238,"Jurby Aerodrome Bomb Store, Jurby Industrial Estate",26/03/2007,https://www.gov.im/media/632513/0500238regbldjurbyaerodromebombs.pdf,Jurby,,Registered
239,"Jurby Terminal Building, Jurby Industrial Estate",26/03/2007,https://www.gov.im/media/632519/0500239regbldjurbyterminalbuildin.pdf,Jurby,,Registered
240,"Aeroplane & Seaplane Store, 266 Jurby Industrial Estate",26/03/2007,https://www.gov.im/media/632525/0500240regbldaeroplaneandseaplane.pdf,Jurby,,Registered
242,"Glashen Farmhouse & attached Barn, Ballasalla",22/03/2007,https://www.gov.im/media/632603/0500242regbldfarmhouseandattached.pdf,Malew,,Registered
244,"Former Methodist Church aka Red Cross House, Derby Road. IM2 3EN",13/09/2007,https://www.gov.im/media/632489/0500244regbldredcrosshouse.pdf,Douglas,,Registered
245,"Greystones Cottage, Main Road, Kirk Michael",31/07/2007,https://www.gov.im/media/632663/0500245regbld-greystones-cottage-amended-030420.pdf,Michael,,Registered
246,"Beaconsfield Towers, Jurby Road, Ramsey",31/07/2007,https://www.gov.im/media/633005/0500246regbld-beaconsfield-tower-amd-030420.pdf,Ramsey,,Registered
247,Ballaradcliffe House,,https://www.gov.im/media/1386638/rb-247-notice-of-de-registration-combined_compressed.pdf,Andreas,,De-registered
248,"St Michael's Church aka Kirk Michael and All Angels Church, Main Road",08/05/2009,https://www.gov.im/media/1350855/0700248regbld-st-michaels-church-reduced.pdf,Michael,,Registered
249,"Orrisdale House, Orrisdale, Michael",03/12/2007,https://www.gov.im/media/632675/0500249regbldorrisdalehouse.pdf,Michael,,Registered
250,"The Whitehouse, Main Road, Kirk Michael, IM6 2HH",22/11/2007,https://www.gov.im/media/632681/0500250regbldwhitehouse.pdf,Michael,,Registered
251,"Church View House, Main Road, Kirk Michael",03/12/2007,https://www.gov.im/media/632687/0500251regbldchurchviewhouse.pdf,Michael,,Registered
252,"Spooyt Vane Sunday School, Ballaleigh Road, Kirk Michael",03/12/2007,https://www.gov.im/media/632693/0500252regbldspooytvanesundaysch.pdf,Michael,,Registered
254,Government House,02/05/2018,https://www.gov.im/media/1361444/0700254regbld-pdf-for-website-amended-120220.pdf,Onchan,,Registered
255,"The Old Rectory, Andreas Village",02/05/2009,https://www.gov.im/media/631511/0500255regbldandreasrectory.pdf,Andreas,,Registered
256,"Malew Parish Church, Great Meadow IM9 4EB",08/04/2008,https://www.gov.im/media/1352400/0500256regbld-malew-church-reduced.pdf,Malew,,Registered
257,"Castletown Railway Station, Victoria Road",08/04/2008,https://www.gov.im/media/632003/0500257regbldrailwaystation.pdf,Castletown,,Registered
258,"Old School House, Cronkbourne, Douglas, IM4 4QH",03/02/2009,https://www.gov.im/media/632495/0900258regbldoldschoolhouse.pdf,Douglas,,Registered
259,"Elderbank', The Crofts, IM9 1LW",08/04/2008,https://www.gov.im/media/632009/0500259regbldelderbank.pdf,Castletown,,Registered
260,"Westwood', The Crofts, IM9 1LW",08/04/2008,https://www.gov.im/media/632015/0500260regbldwestwood.pdf,Castletown,,Registered
261,"Crofton', The Crofts, IM9 1LW",08/04/2008,https://www.gov.im/media/632021/0500261regbldcrofton.pdf,Castletown,,Registered
262,Ballawhane Windmill,16/01/2019,https://www.gov.im/media/1364129/rb262-ballawhane-windmill.pdf,Andreas,,Registered
263,"The Banqueting Hall, Ballamoar Farm, Patrick Road, Patrick",19/01/2009,https://www.gov.im/media/632801/0500263regbldformerbanquetinghous.pdf,Patrick,,Registered
264,"Royal British Legion Hall, Janet's Corner",03/03/2009,https://www.gov.im/media/632027/0500264regbldlegionhall.pdf,Castletown,,Registered
266,"Peel Police Station(formerly Peel Court House) Derby Road, Peel, IM5 1HH",20/10/2014,https://www.gov.im/media/1346489/rb266-peel-police-station.pdf,Peel,,Registered
267,"Scarlett House, Castletown,IM9 1TB",18/09/2012,https://www.gov.im/media/1346490/rb267-scarlett-house.pdf,Malew,,Registered
268,"Glyn Moar, Glyn Moar Road, St Johns, IM4 3AQ",18/09/2012,https://www.gov.im/media/1346491/rb268-glyn-moar.pdf,German,,Registered
269,Lorne House,11/11/15,https://www.gov.im/media/1349630/rb269-lorne-house-scan.pdf,Castletown,,Registered
270,Peel Harbour Masters Office,17/02/2017,https://www.gov.im/media/1360605/rb270-registration.pdf,Peel,,Registered
275,Kentraugh House and Estate,29/09/2021,https://www.gov.im/media/1374670/275-kentraugh-house-and-estate.pdf,Rushen,,Registered
278,"Railway Station, Main Road, Santon, IM4 1EH",21/10/2014,https://www.gov.im/media/1346492/rb278-santon-railway-station.pdf,Santon,,Registered
279,"Colby Level Gate Hut, Colby",21/10/2014,https://www.gov.im/media/1346493/rb279-colby-level-gate-hut.pdf,Rushen,,Registered
280,"Ballagawne Gate House, Mount Gawne Road, Colby",21/10/2014,https://www.gov.im/media/1346494/rb280-ballagawne-gate-house.pdf,Rushen,,Registered
281,Port St Mary Railway Station,17/10/18,https://www.gov.im/media/1362026/notice1800281-port-st-mary-railway-station.pdf,Port St Mary,,Registered
282,Port Erin Railway Station,17/10/2018,https://www.gov.im/media/1362025/port-erin-railway.pdf,Port Erin,,Registered
283,"Gatekeepers Hut, Port St Mary",3/03/2017,https://www.gov.im/media/1353280/rb283-rb-notice.pdf,Port St Mary,,Registered
284,Ballasalla Gate House,01/03/2017,https://www.gov.im/media/1360606/rb284-rb-notice.pdf,Malew,,Registered
285,Water Tower Ballasalla,01/03/2017,https://www.gov.im/media/1360607/rb285-rb-notice.pdf,Malew,,Registered
286,Victoria Clock Tower Foxdale,01/02/2017,https://www.gov.im/media/1360608/rb286-notice.pdf,Patrick,,Registered
287,"Groudle Glen Hotel, King Edward Road",15/10/2019,https://www.gov.im/media/1365721/rb287-groudle-glen-hotel-for-website-151019.pdf,Onchan,,Registered
289,Former Newson's Trading Building 27-28 North Quay,13/04/2018,https://www.gov.im/media/1360386/1700289regbld-consultees-registration-notice-160418.pdf,Douglas,,Registered
290,IOM Bank Buildings 2 Athol Street,13/04/2018,https://www.gov.im/media/1360387/1700290regbld-website-detail.pdf,Douglas,,Registered
291,Douglas Horse Tram Stables,13/06/2018,https://www.gov.im/media/1361802/register-entry-summary-horse-tram-stables.pdf,Douglas,,Registered
292,Masonic Lodge,25/06/2018,https://www.gov.im/media/1364130/rb-292-masonic-lodge.pdf,Douglas,,Registered
293,"Former Farmers Combine Warehouse, 33 West Quay, Ramsey",,https://www.gov.im/media/1363509/1900293regbld-de-reg-entry-for-website-151019.pdf,Ramsey,,De-registered
294,"The Mitre Hotel, Kirk Michael",07/04/2021,https://www.gov.im/media/1372564/294-registration-notice-summary-and-map.pdf,Michael,,Registered
295,"Cosy Nook, Shore Road",07/04/2021,https://www.gov.im/media/1372565/295-registration-notice-summary-and-map.pdf,Port Erin,,Registered
296,"Trafalgar House (former Trafalgar Hotel), South Quay",07/04/2021,https://www.gov.im/media/1372563/296-registration-notice-summary-and-map.pdf,Douglas,,Registered
297,Point of Ayre Foghorn,07/07/2021,https://www.gov.im/media/1373614/297-notice-and-entry-summary.pdf,Bride,,Registered
298,Point of Ayre Winkie Lighthouse,07/07/2021,https://www.gov.im/media/1373615/298-notice-and-entry-summary.pdf,Bride,,Registered
299,Nautical Museum,07/07/2021,https://www.gov.im/media/1373616/299-notice-and-entry-summary.pdf,Castletown,,Registered
300,Maughold Lighthouse Tower,07/07/2021,https://www.gov.im/media/1373617/300-notice-and-entry-summary.pdf,Maughold,,Registered
301,Corrins Tower,07/07/2021,https://www.gov.im/media/1373618/301-notice-and-entry-summary.pdf,Patrick,,Registered
302,"Custom House, Crown Street",07/07/2021,https://www.gov.im/media/1373619/302-notice-and-entry-summary.pdf,Peel,,Registered
303,Milner's Tower,22/07/2021,https://www.gov.im/media/1373722/303-milners-tower-notice-and-entry-summary.pdf,Port Erin,,Registered
304,"Lifeboat House, The Quay",07/07/2021,https://www.gov.im/media/1373623/304-notice-and-entry-summary.pdf,Port St Mary,,Registered
305,Range Front (Leading Light) Lighthouse,07/07/2021,https://www.gov.im/media/1373620/305-notice-and-entry-summary.pdf,Port Erin,,Registered
306,"Former Lifeboat House, Breakwater Road",07/07/2021,https://www.gov.im/media/1373621/306-notice-and-entry-summary.pdf,Port Erin,,Registered
307,Harbourmaster's Office and Coal Shed,07/07/2021,https://www.gov.im/media/1373622/307-notice-and-entry-summary.pdf,Port Erin,,Registered
308,Calf of Man Upper Lighthouse,07/07/2021,https://www.gov.im/media/1373624/308-notice-and-entry-summary.pdf,Rushen,,Registered
309,Calf of Man Lower Lighthouse,07/07/2021,https://www.gov.im/media/1373625/309-notice-and-entry-summary.pdf,Rushen,,Registered
310,Chicken Rock Lighthouse,07/07/2021,https://www.gov.im/media/1373626/310-notice-and-entry-summary.pdf,Rushen,,Registered
311,Ballaugh Parish War Memorial,07/07/2021,https://www.gov.im/media/1373629/311-notice-and-entry-summary.pdf,Ballaugh,,Registered
312,"Inkerman Memorial, The Nunnery",07/07/2021,https://www.gov.im/media/1373632/312-notice-and-entry-summary.pdf,Douglas,,Registered
313,Castletown War Memorial,07/07/2021,https://www.gov.im/media/1373630/313-notice-and-entry-summary.pdf,Castletown,,Registered
314,King Williams College War Memorial,07/07/2021,https://www.gov.im/media/1373631/314-notice-and-entry-summary.pdf,Castletown,,Registered
315,Douglas Borough War Memorial,07/07/2021,https://www.gov.im/media/1373633/315-notice-and-entry-summary.pdf,Douglas,,Registered
316,"Goldie -Taubman Memorial, Douglas Head",07/07/2021,https://www.gov.im/media/1373634/316-notice-and-entry-summary.pdf,Douglas,,Registered
317,Douglas Cemetery War Memorial,07/07/2021,https://www.gov.im/media/1373635/317-notice-and-entry-summary.pdf,Douglas,,Registered
318,"National War Memorial, St Johns",07/07/2021,https://www.gov.im/media/1373636/318-notice-and-entry-summary.pdf,German,,Registered
319,"Lezayre Parish War Memorial, Churchtown",07/07/2021,https://www.gov.im/media/1373637/319-notice-and-entry-summary.pdf,Lezayre,,Registered
320,Onchan Parish War Memorial,07/07/2021,https://www.gov.im/media/1373638/320-notice-and-entry-summary.pdf,Onchan,,Registered
321,"Ramsey War Memorial, Memorial Gardens",07/07/2021,https://www.gov.im/media/1373640/321-notice-and-entry-summary.pdf,Ramsey,,Registered
322,"Mona's Queen Memorial, Kallow Point",07/07/2021,https://www.gov.im/media/1373639/322-notice-and-entry-summary.pdf,Port St Mary,,Registered
323,"Santon Parish War Memorial, Church Road",07/07/2021,https://www.gov.im/media/1373641/323-notice-and-entry-summary.pdf,Santon,,Registered
324,"K8 Telephone Kiosk, Summerhill Road",01/09/2021,https://www.gov.im/media/1374318/324-notice-and-entry-summary-dec-21.pdf,Onchan,,Registered
325,"K8 Telephone Kiosk, Hillberry Road",01/09/2021,https://www.gov.im/media/1374319/325-notice-and-entry-summary-dec-21.pdf,Onchan,,Registered
326,"K8 Telephone Kiosk, Memorial Gardens",01/09/2021,https://www.gov.im/media/1374325/326-notice-and-entry-summary-dec-21.pdf,Ramsey,,Registered
327,"Pair of K6 Telephone Kiosks, Drumgold Street",01/09/2021,https://www.gov.im/media/1374316/rb-327-pair-of-k6-telephone-kiosks-drumgold-street.pdf,Douglas,,Registered
328,"K6 Telephone Kiosk, Peel Promenade",01/09/2021,https://www.gov.im/media/1374322/rb-328-k6-telephone-kiosk-peel-promenade.pdf,Peel,,Registered
329,"K6 Telephone Kiosk, Lower Promenade",01/09/2021,https://www.gov.im/media/1374323/rb-329-k6-telephone-kiosk-lower-promenade.pdf,Port Erin,,Registered
330,"K6 Telephone Kiosk, Queens Road",01/09/2021,https://www.gov.im/media/1374324/rb-330-k6-telephone-kiosk-queens-road.pdf,Port St Mary,,Registered
331,"K6 Telephone Kiosk, The Hope",01/09/2021,https://www.gov.im/media/1374320/rb-331-k6-telephone-kiosk-the-hope.pdf,Patrick,,Registered
332,"K6 Telephone Kiosk, Bride Village",01/09/2021,https://www.gov.im/media/1374315/rb-332-k6-telephone-kiosk-bride-village.pdf,Bride,,Registered
333,"K6 Telephone Kiosk, Derbyhaven",01/09/2021,https://www.gov.im/media/1374317/rb-333-k6-telephone-kiosk-derbyhaven.pdf,Malew,,Registered
334,"K6 Telephone Kiosk, Cregneash Village",01/09/2021,https://www.gov.im/media/1374326/rb-334-k6-telephone-kiosk-cregneash-village.pdf,Rushen,,Registered
335,"K6 Telephone Kiosk, Patrick Village",01/09/2021,https://www.gov.im/media/1374321/rb-335-k6-telephone-kiosk-patrick-village.pdf,Patrick,,Registered
336,Ballavarry Farmhouse,29/09/2021,https://www.gov.im/media/1374669/rb336-ballavarry-farmhouse.pdf,Andreas,,Registered
337,Laxey Glen Flour Mills,28/02/2024,https://www.gov.im/media/1382579/337-notice-and-entry-summary-uploaded-050324_compressed.pdf,Laxey,,Registered
338,Ramsey Swing Bridge,28/02/2024,https://www.gov.im/media/1382563/338-notice-and-entry-summary_compressed.pdf,Ramsey,,Registered
339,"Leyton, Victoria Road",28/02/2024,https://pabc.gov.im/media/b4rl0eq1/339-notice-and-entry-summary_compressed.pdf,Douglas,,Registered
340,Legislative Chambers,02/09/2025,https://pabc.gov.im/media/swwddxkv/340-notice-and-entry-summary_compressed.pdf,Douglas,,Registered
341,Royal Chapel and landscaping around Assembly Site,02/09/2025,https://pabc.gov.im/media/uadi12ag/341-notice-and-entry-summary_compressed.pdf,German,,Registered
342,"Moore's Bridge, Laxey",02/09/2025,https://pabc.gov.im/media/qnjnrzxz/342-notice-and-entry-summary_compressed.pdf,Laxey,,Registered
343,Laxey Manx Electric Railway Viaduct,02/09/2025,https://pabc.gov.im/media/cnzfffi3/343-notice-and-entry-summary_compressed.pdf,Laxey,,Registered
344,Former Kirk Michael Railway Station,02/09/2025,https://pabc.gov.im/media/jufpzh1n/344-notice-and-entry-summary_compressed.pdf,Michael,,Registered
345,Monks' Bridge,02/09/2025,https://pabc.gov.im/media/eszhwz3y/345-notice-and-entry-summary_compressed.pdf,Malew,,Registered
346,Ballure Manx Electric Railway Viaduct,02/09/2025,https://pabc.gov.im/media/ba2ldk1n/346-notice-and-entry-summary_compressed.pdf,Maughold,,Registered
347,"Stone Bridge over Sulby River, Bowring Road",02/09/2025,https://pabc.gov.im/media/2ald5iep/347-notice-and-entry-summary_compressed.pdf,Ramsey,,Registered
348,Groudle Viaduct,02/09/2025,https://pabc.gov.im/media/zabm1tx0/348-notice-and-entry-summary_compressed.pdf,Onchan,,Registered
349,Former Peel Railway Station and Water Tower,02/09/2025,https://pabc.gov.im/media/3vzdcjvk/349-notice-and-entry-summary_compressed.pdf,Peel,,Registered
350,Former School of Art,02/09/2025,https://pabc.gov.im/media/0wgcahcb/350-notice-and-entry-summary_compressed.pdf,Douglas,,Registered
351,Douglas Railway Stations Workshops Complex,02/09/2025,https://pabc.gov.im/media/fyidu1hi/351-notice-and-entry-summary_compressed.pdf,Douglas,,Registered
352,Douglas Railway Station Signal Box,02/09/2025,https://pabc.gov.im/media/vkxnsugb/352-notice-and-entry-summary-220925_compressed.pdf,Douglas,,Registered
241/REGBLD1,Pillbox at Field 211025,26/03/2007,https://www.gov.im/media/1348529/rb241-regbld1-pillbox-at-field-211025-jurby.pdf,Jurby,,Registered
241/REGBLD2,"Pillbox at Field 214188, Ballamoar",26/03/2007,https://www.gov.im/media/1348532/rb241-regbld2-pillbox-at-field-214188-jurby.pdf,Jurby,,Registered
241/REGBLD3,"Pillbox at Fields 210249 - 210250 & 210251, adjacent to Church Road",26/03/2007,https://www.gov.im/media/1348535/rb241-regbld3-pillbox-at-field-210249-to-210251-jurby.pdf,Jurby,,Registered
241/REGBLD4,"Pillbox at Fields 210356 & 214288, adjacent to Jurby East Road",26/03/2007,https://www.gov.im/media/1348538/rb241-regbld4-pillbox-at-field-210356-and-214228-jurby.pdf,Jurby,,Registered
241/REGBLD5,"Pillbox at Fields 210846 - 210872 & 210873, adjacent to Ballavarran Road",26/03/2007,https://www.gov.im/media/1348530/rb241-regbld5-pillbox-at-field-210846-210872-3-jurby.pdf,Jurby,,Registered
241/REGBLD6,"Pillbox at Fields 211033 - 214136 & Jurby Aerodrome, Ballamoar",26/03/2007,https://www.gov.im/media/1348533/rb241-regbld6-pillbox-at-field-211033-214136-jurby.pdf,Jurby,,Registered
241/REGBLD7,"Pillbox at Fields 214191 & 214197, adjacent to Church Road",26/03/2007,https://www.gov.im/media/1348536/rb241-regbld7-pillbox-at-field-214194-and-214197-jurby.pdf,Jurby,,Registered
241/REGBLD8,"Pillbox at fields 214201 & 214286, adjacent to Jurby Road, Sandygate",26/03/2007,https://www.gov.im/media/1348539/rb241-regbld8-pillbox-at-field-214201-and-214286-jurby.pdf,Jurby,,Registered
241/REGBLD9,"Pillbox between Studio House & Jurby Aerodrome, Ballavarran Road",26/03/2007,https://www.gov.im/media/1348531/rb241-regbld9-pillbox-between-studio-house-and-aerodrome-jurby.pdf,Jurby,,Registered
